año,trimestre,ingresos(milesDePesos),bandaAnchaFija,dialUp,hasta512Kbps,entre512KbpsY1Mbps,entre1MbpsY6Mbps,entre6MbpsY10Mbps,entre10MbpsY20Mbps,entre20MbpsY30Mbps,másDe30Mbps,otrosAccesosPorVelocidad,accesosPorCada100Hogares,accesosPorCada100Hab,adsl,cablemodem,fibraÓptica,wireless,otrosAccesosPorTecnologia,mbps(mediaDeBajada)
2016,3,0.01415966385179829,0.15519916794298805,0.6347458493846522,0.06112998754437844,0.4034180046062953,0.9213124389911097,0.6770384594065164,0.41591135559441983,0.07357189012338879,0.002326002122340743,0.0,0.14273239449315622,0.149341613311593,0.9912228595277804,0.19571909737224558,0.007923550419333347,0.020279088444935228,0.0,0.01712979120550936
2016,4,0.016219745350102226,0.16371520300879117,0.6325299151126718,0.06375668324591803,0.31084451781070493,0.888018174672316,0.7131844237991698,0.4763198031480051,0.10019941921448848,0.0032321216498990253,0.0,0.1496105026788226,0.15543247467154897,0.9735087660790694,0.21910828303459595,0.010031956333396458,0.027219363063115953,0.0037341016358018453,0.02007083080701341
2017,1,0.02060715400992308,0.17401818318373974,0.6323594586302117,0.06345588422203205,0.30593022585412183,0.8673045995309386,0.7172977908301095,0.5230711351527231,0.12456919349231196,0.004357587236453974,0.0,0.15731551165248203,0.16370415711731323,0.9689204302126199,0.23701534275152636,0.01056757193271058,0.02663974405843164,0.006852171275849639,0.022186147482843966
2017,2,0.024130304516359453,0.197561441687083,0.6320185456652917,0.0707131902490277,0.29471338101465944,0.8280095678267249,0.7332513379162915,0.6308582787652012,0.13696907669555194,0.010421332409972629,0.0,0.18250193259066316,0.18817786349269183,0.9737478244532282,0.2662516202521701,0.01073037224252138,0.028533923812301937,0.008633925355876926,0.026139995944499884
2017,3,0.02552649042046956,0.2537405012687157,0.6258480210002386,0.05654597988459485,0.2874777347223023,0.7454773825392993,0.8091065114192215,0.7581125188107537,0.2091532649491857,0.028040256706727253,0.0,0.2505914428095881,0.2524594029649181,0.9404173417699367,0.3444784315522562,0.014132666514272502,0.06761085213464588,0.3669655211630684,0.03483967599882076
2017,4,0.02970811578949198,0.28153607307498874,0.5949953976749736,0.0396800515171286,0.29275312624222805,0.6780531268623383,0.7492153436015858,0.8282964574775288,0.37408189869361763,0.03902779409104226,0.37406510847393876,0.2806870049084731,0.2816121608954123,0.927782908580974,0.3848308936809075,0.018637668431239707,0.16105452775257464,0.21918418408931511,0.06190748498164464
2018,1,0.036719961275415366,0.31332821854045867,0.5823134353799475,0.0069226141553478705,0.28354660460204706,0.5613277400499384,0.7193152545989074,1.0,0.5103432059762983,0.04626166428343342,0.5704200562261003,0.3160483298587107,0.3151877686419131,0.9244753840865708,0.42928472140391305,0.020194720522694776,0.17909658990818908,0.2112042003904695,0.07086260947156778
2018,2,0.04085789607346864,0.32731346930316163,0.5768247366447347,0.001258271973156866,0.2897080555547127,0.5716242330519198,0.7218880699805783,0.9175133200471794,0.5920926461277314,0.0518188302126208,0.5749311640152958,0.32770545585819755,0.32750822857639106,0.9188363800618712,0.4448358690007026,0.02247160282710091,0.23396529483854958,0.1906619026858995,0.07549764814351588
2018,3,0.044792197646718955,0.3723179423701646,0.5734496982920261,0.0,0.2914103820676136,0.5913124506535021,0.5963817430510454,0.765653597429536,0.9306705804242233,0.06144347666377039,0.37727182860201464,0.3797747684817405,0.37781677330884444,0.9070257737286073,0.49939799721556666,0.0279105779952806,0.3322997425809715,0.18751066209223416,0.08664225108541206
2018,4,0.04921379401157668,0.3973439203841609,0.4030613984249821,0.5637439734280074,0.2619868365554136,0.5765490281145293,0.6204103745119756,0.6972724407207062,1.0,0.07039954866435372,0.3674177946445362,0.40450905199641674,0.402457693177801,0.8434903975468121,0.5200357546556336,0.06419801884149133,0.3666184913615933,0.5884764107132703,0.09099543851460348
