provincia,partido,localidad,linkIndec,otros,"0,256Mbps","0,5Mbps","0,512Mbps","0,75Mbps",1Mbps,"1,5Mbps",2Mbps,"2,2Mbps","2,5Mbps",3Mbps,"3,3Mbps","3,5Mbps",4Mbps,"4,5Mbps",5Mbps,6Mbps,"6,4Mbps",7Mbps,"7,5Mbps",8Mbps,9Mbps,10Mbps,"10,1Mbps","10,2Mbps",11Mbps,12Mbps,"12,3Mbps",13Mbps,14Mbps,15Mbps,16Mbps,17Mbps,18Mbps,20Mbps,"20,5Mbps",21Mbps,22Mbps,23Mbps,24Mbps,25Mbps,"25,1Mbps","25,5Mbps",26Mbps,27Mbps,30Mbps,31Mbps,32Mbps,35Mbps,36Mbps,40Mbps,41Mbps,45Mbps,48Mbps,49Mbps,50Mbps,"50,1Mbps","50,25Mbps",51Mbps,55Mbps,59Mbps,60Mbps,61Mbps,65Mbps,66Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,98Mbps,100Mbps,"100,1Mbps","100,25Mbps",105Mbps,110Mbps,120Mbps,122Mbps,125Mbps,130Mbps,140Mbps,150Mbps,155Mbps,160Mbps,164Mbps,165Mbps,180Mbps,200Mbps,205Mbps,212Mbps,220Mbps,225Mbps,240Mbps,246Mbps,250Mbps,256Mbps,275Mbps,300Mbps,320Mbps,325Mbps,330Mbps,350Mbps,400Mbps,450Mbps,480Mbps,500Mbps,512Mbps,520Mbps,540Mbps,600Mbps,680Mbps,700Mbps,800Mbps,850Mbps,900Mbps,999Mbps,1000Mbps,1024Mbps,4000Mbps,10000Mbps,totalAccesos
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010.0,1.0,,3.0,,10.0,28.0,,,,,97.0,,18.0,339.0,,9.0,52.0,,,,3.0,,408.0,,,,,,,,9.0,,,,,,,,,,,,,,,9967.0,,,,,,,,,,203.0,,,,,,464.0,,,,,14.0,,,,,,1059.0,,,,,,,,,,3072.0,,,,,,,,,,,,,,,,4295.0,,,,,,,,753.0,,,,,,,,,,,666.0,,,,21470.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010.0,1.0,,1.0,,4.0,9.0,,,,,40.0,,21.0,,,1.0,88.0,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,3236.0,,,,,,,,,,33.0,,,,,,178.0,,,,,1.0,,,,,,132.0,,,,,,,,,,1542.0,,,,,,,,,,,,,,,,1795.0,,,,,,,,327.0,,,,,,,,,,,343.0,,,,7821.0
BUENOS AIRES,Almirante Brown,San Jose,6028010.0,,,3.0,,1.0,,,,,,,,2.0,,,5.0,,,,,,,292.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,66.0,,,,,,438.0,,,,,11.0,,,,,,403.0,,,,,,,,,,3114.0,,,,,,,,,,,,,,,,3416.0,,,,,,,,647.0,,,,,,,,,,,622.0,,,,9025.0
BUENOS AIRES,AMBA,Otros,,0.0,,13.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
BUENOS AIRES,Arrecifes,Arrecifes,6077010.0,159.0,,1.0,,6.0,137.0,,275.0,,,546.0,,165.0,292.0,,,95.0,,,,285.0,,10.0,,,,,,,,451.0,,,,4483.0,,,,,,,,,,,3.0,,,,,,,,,,1821.0,,,,,,,,,,,,,,,,,1301.0,,,,,,,,,,,,,,,,,,,,,,,,,,376.0,,,,,,,,23.0,,,,,,,,,,,6.0,,,,10435.0
BUENOS AIRES,Arrecifes,Todd,6077020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.0
BUENOS AIRES,Arrecifes,Viña,6077030.0,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0
BUENOS AIRES,Avellaneda,Avellaneda,6035010.0,34.0,,8.0,5.0,43.0,41.0,,1.0,,,27.0,,288.0,,,12.0,24.0,,,,397.0,,211.0,,,,,,,,817.0,,,,22.0,,,,,,1.0,,,,,2948.0,,,,,,,,,,2591.0,,,,,,86.0,,,,,6.0,,,,,,3502.0,,,,,,,,,,801.0,,,,,,1.0,,,,,,,,,,3935.0,,,,,,,,553.0,,,,78.0,,,,,,,284.0,,,,16716.0
BUENOS AIRES,Avellaneda,Crucesita,6035010.0,,,,,1.0,1.0,,,,,1.0,,6.0,,,5.0,1.0,,,,3.0,,93.0,,,,,,,,1.0,,,,16.0,,,,,,2.0,,,,,13.0,,,,,,,,,,2174.0,,,,,,86.0,,,,,6.0,,,,,,2070.0,,,,,,,,,,609.0,,,,,,,,,,,,,,,,2207.0,,,,,,,,312.0,,,,65.0,,,,,,,217.0,,,,7889.0
BUENOS AIRES,Avellaneda,Dock Sud,6035010.0,3.0,,1.0,,5.0,5.0,,,,,5.0,,,,,,5.0,,,,1.0,,29.0,,,,,,,,,,,,4.0,,,,,23.0,,,,,,3.0,,,,,,,,,,1291.0,,,,,,29.0,,,,,2.0,,,,,,481.0,,,,,,,,,,262.0,,,,,,,,,,,,,,,,329.0,,,,,,,,38.0,,,,32.0,,,,,,,40.0,,,,2588.0
BUENOS AIRES,Avellaneda,Gerli,6035010.0,,,1.0,,2.0,2.0,,,,,,,1.0,,,,,,,,,,241.0,,,,,,,,,,,,13.0,,,,,,2.0,,,,,2.0,,,,,,,,,,3531.0,,,,,,169.0,,,,,7.0,,,,,,2378.0,,,,,,,,,,943.0,,,,,,,,,,,,,,,,2660.0,,,,,,,,320.0,,,,73.0,,,,,,,258.0,,,,10603.0
BUENOS AIRES,Avellaneda,Pineyro,6035010.0,1.0,,4.0,,2.0,5.0,,1.0,,,,,4.0,,,6.0,,,,,2.0,,186.0,,,,,,,,1.0,,,,7.0,,,,,,,,,,,12.0,,,,,1.0,,,,,1997.0,,,,,,134.0,,,,,7.0,,,,,,1909.0,,,,,,,,,,878.0,,,,,,,,,,,,,,,,2585.0,,,,,,,,318.0,,,,60.0,,,,,,2.0,270.0,,,,8392.0
BUENOS AIRES,Avellaneda,Sarandí,6035010.0,3.0,,12.0,1.0,35.0,5.0,,2.0,,,1.0,,215.0,,,14.0,,,,,128.0,,260.0,,,,,,,,1605.0,,,,35.0,,,,,,5.0,,,,,3394.0,,,,,,,,,,6520.0,,,,,,217.0,,,,,5.0,,,,,,4481.0,,,,,,,,,,1555.0,,,,,,,,,,,,,,,,4536.0,,,,,,,,538.0,,,,139.0,,,,,,,436.0,,,,24142.0
BUENOS AIRES,Avellaneda,Villa Domínico,6035010.0,2.0,,5.0,,8.0,9.0,,1.0,,,5.0,,2.0,,,6.0,8.0,,10.0,,468.0,,342.0,,,,,,,,9.0,,,,36.0,,,,,,1.0,,,,,15.0,,,4.0,,8.0,,,,,5503.0,,,,,,254.0,,,,,9.0,,,,,,3149.0,,,,,,,,,,1722.0,,,,,,,,,,,,,,,,3758.0,,,,,,,,513.0,,,,104.0,,,,,,,672.0,,,,16623.0
BUENOS AIRES,Avellaneda,Wilde,6035010.0,3.0,,5.0,,32.0,6.0,,,,,1.0,,116.0,,,7.0,7.0,,,,261.0,,375.0,,,,,,,,1685.0,,,,61.0,,,,,,5.0,,,,,3079.0,,,2.0,,1.0,,,,,7974.0,,,,,,322.0,,,,,18.0,,,,,,4995.0,,,,,,,,,,2199.0,,,,,,,,,,,,,,,,5714.0,,,,,,,,761.0,,,,145.0,,,,,,,573.0,,,,28347.0
BUENOS AIRES,Ayacucho,Ayacucho,6042010.0,,,,,7.0,119.0,,,,,,,109.0,,,,23.0,,,,752.0,,,,,,,,,,1202.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2215.0
BUENOS AIRES,Ayacucho,La Constancia,6042020.0,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
