año,trimestre,provincia,mbps(mediaDeBajada),Periodo
2016,4,Misiones,7.1094758091013635,2016T4
2016,4,Neuquén,5.678446306542373,2016T4
2016,4,Río Negro,4.369930463165329,2016T4
2016,4,Salta,5.220883577846971,2016T4
2016,4,San Juan,3.491135554044867,2016T4
2016,4,San Luis,3.502824149975052,2016T4
2016,4,Santa Cruz,3.5639164089588604,2016T4
2016,4,Santa Fe,6.0402333289406664,2016T4
2016,4,Santiago Del Estero,4.866794431448622,2016T4
2016,4,Tierra Del Fuego,3.476761467376085,2016T4
2016,4,Tucumán,5.7277669342021085,2016T4
2017,1,Buenos Aires,6.678482577091709,2017T1
2017,1,Capital Federal,8.348147316695423,2017T1
2017,1,Catamarca,4.973784837545127,2017T1
2017,1,Chaco,7.307905398272823,2017T1
2017,1,Chubut,3.4433862008733622,2017T1
2017,1,Córdoba,6.799477637369997,2017T1
2017,1,Corrientes,6.43297127701597,2017T1
2017,1,Entre Ríos,5.9514745757075245,2017T1
2017,1,Formosa,5.742388931901572,2017T1
2017,1,Jujuy,4.393861259634748,2017T1
2017,1,La Pampa,3.2208135842183347,2017T1
2017,1,La Rioja,5.427180473372781,2017T1
2017,1,Mendoza,3.5072942051440963,2017T1
2017,1,Misiones,7.341041988916319,2017T1
2017,1,Neuquén,6.0348361444213925,2017T1
2017,1,Río Negro,4.449448877971685,2017T1
2017,1,Salta,5.335371217821875,2017T1
2017,1,San Juan,3.492435161246428,2017T1
2017,1,San Luis,3.502824149975052,2017T1
2017,1,Santa Cruz,3.591930075636318,2017T1
2017,1,Santa Fe,6.284036486892411,2017T1
2017,1,Santiago Del Estero,4.948965833284994,2017T1
2017,1,Tierra Del Fuego,3.476761467376085,2017T1
2017,1,Tucumán,5.8755073256955805,2017T1
2017,2,Buenos Aires,7.198747751887984,2017T2
2017,2,Capital Federal,8.843219830788254,2017T2
2017,2,Catamarca,5.102182825899711,2017T2
2017,2,Chaco,7.689213433544128,2017T2
2017,2,Chubut,3.44726909222351,2017T2
2017,2,Córdoba,7.421321799076774,2017T2
2017,2,Corrientes,6.7915804826070545,2017T2
2017,2,Entre Ríos,6.287810106292773,2017T2
2017,2,Formosa,6.1786533146404965,2017T2
2017,2,Jujuy,4.541861878194008,2017T2
2017,2,La Pampa,3.3182593614961053,2017T2
2017,2,La Rioja,5.53385510805501,2017T2
